Name,Position,Height,Weight,Career,Team,Game,First Publish,TimeAve,ShootingRateAve,HitAve,NumberofhandsAve,ThreeRateAve,ThreeHitAve,ThreeNumAve,FoulRateAve,FoulHitAve,FoulNumAve,ReboundsAve,OffRebAve,DefRebAve,AssistsAve,StealAve,BlockAve,TurnoverAve,PersonalFoulAve,PointsAve,WinSum,LoseSum
Kelenna David Azubuike,后卫,1.96,100,5,2,208,84,24.2,45.9%,3.9,8.4,40.9%,1.0,2.5,77.0%,1.8,2.3,4.0,1.2,2.8,1.1,0.6,0.5,1.0,2.0,10.5,99,109
Gustavo Alfonso Ayon,中锋,2.08,113,3,4,135,41,16.7,53.6%,2.1,3.9,0.0%,0.0,0.0,50.4%,0.5,1.0,4.4,1.4,3.0,1.3,0.7,0.5,0.9,2.0,4.7,47,88
Dennis Wade Awtrey,中锋,2.08,107,12,6,733, ,19.3,45.9%,1.9,4.1, , , ,65.2%,1.0,1.6,4.6, , ,2.0, , , ,2.3,4.8,,
William Avery,后卫,1.88,89,3,1,142,1,8.5,33.0%,1.0,2.9,25.5%,0.3,1.1,71.4%,0.5,0.6,0.7,0.1,0.5,1.4,0.2,0.0,0.7,0.9,2.7,86,56
William Rodney Averitt,后卫,1.85,77,2,2,130, ,17.1,39.2%,3.3,8.5, , , ,71.3%,1.7,2.4,1.2,0.3,1.0,2.5,0.5,0.1, ,1.9,8.3,,
Anthony Avent,前锋,2.06,107,6,5,352,156,19.1,40.3%,2.3,5.7,0.0%,0.0,0.0,68.6%,0.9,1.4,4.5,1.6,2.9,0.8,0.5,0.6,1.2,2.3,5.6,140,212
Ken Austin,前锋,2.06,93,1,1,7,0,4.0,46.2%,0.9,1.9, ,0.0,0.0, ,0.0,0.0,0.4,0.3,0.1,0.1,0.1,0.1,0.4,1.0,1.7,,
John W. Austin,后卫,1.83,77,1,1,4, ,15.3,22.7%,1.3,5.5, , , ,81.3%,3.3,4.0,1.8, , ,1.0, , , ,3.0,5.8,,
Isaac Edward Austin,中锋,2.08,116,9,8,432,166,19.3,44.6%,3.0,6.7,17.6%,0.0,0.1,67.0%,1.6,2.4,4.7,1.4,3.3,1.2,0.5,0.5,1.6,2.2,7.6,227,205
James Dale Augustine,前锋,2.08,107,2,1,27,0,5.8,51.4%,0.7,1.4, ,0.0,0.0,50.0%,0.1,0.3,1.2,0.6,0.6,0.1,0.2,0.1,0.2,0.7,1.6,18,9
Darryl Gerard Augustin Jr.,后卫,1.83,83,10,8,668,196,23.6,40.3%,3.1,7.7,37.2%,1.2,3.3,86.1%,2.1,2.5,1.8,0.3,1.5,3.8,0.6,0.0,1.5,1.5,9.5,312,356
Stacey Orlando Augmon,前锋-后卫,1.98,93,15,6,1001,472,21.6,46.9%,3.0,6.5,15.2%,0.0,0.1,72.8%,1.9,2.6,3.2,1.3,1.9,1.6,1.0,0.3,1.2,1.7,8.0,564,437
Chester J. Aubuchon Jr.,后卫,1.78,62,1,1,30, , ,25.3%,0.8,3.0, , , ,54.3%,0.6,1.2, , , ,0.7, , , ,1.5,2.2,,
Alvin A. Attles Jr.,后卫,1.83,79,11,2,711, ,25.1,45.1%,3.5,7.8, , , ,63.2%,1.9,3.0,3.5, , ,3.5, , , ,3.4,8.9,,
Kenneth Lavon Atkins,后卫,1.80,73,11,8,695,326,24.9,41.2%,3.6,8.7,36.4%,1.3,3.7,77.2%,1.4,1.8,1.7,0.3,1.4,3.4,0.7,0.1,1.5,1.8,9.9,337,358
Richard E. Atha,后卫,1.88,86,2,2,43, ,10.4,39.3%,1.2,3.1, , , ,79.5%,0.7,0.9,1.5, , ,1.2, , , ,1.5,3.2,,
Donald A. Asmonga,后卫,1.88,84,1,1,7, ,6.6,13.3%,0.3,2.1, , , ,100.0%,0.1,0.1,0.1, , ,0.7, , , ,1.7,0.7,,
Keith Bernard Askins,后卫-前锋,2.01,89,9,1,486,80,16.4,40.1%,1.4,3.5,35.5%,0.6,1.6,71.7%,0.5,0.6,2.9,1.1,1.9,0.8,0.6,0.3,0.7,2.3,3.8,255,231
Vincent Jerome Askew,后卫-前锋,1.98,95,9,8,467,27,20.0,48.0%,2.6,5.4,30.0%,0.2,0.5,75.4%,1.7,2.3,2.5,0.9,1.7,2.2,0.7,0.2,1.1,2.1,7.1,308,159
Omer Faruk Asik,中锋,2.13,116,8,3,455,262,19.9,52.9%,2.1,3.9,0.0%,0.0,0.0,55.4%,1.3,2.3,7.3,2.3,5.0,0.6,0.4,0.7,1.2,2.0,5.4,275,180
John Charles Arthurs,后卫,1.93,84,1,1,11, ,7.8,34.3%,1.1,3.2, , , ,73.3%,1.0,1.4,1.3, , ,1.5, , , ,1.4,3.2,,
Darrell Arthur,前锋,2.06,107,9,2,487,104,18.1,44.3%,2.8,6.3,34.9%,0.3,0.9,76.6%,0.7,1.0,3.6,1.1,2.5,0.8,0.6,0.6,0.8,2.5,6.6,219,268
Carlos Alberto Arroyo,后卫,1.88,92,9,7,569,190,18.7,43.8%,2.5,5.7,33.8%,0.2,0.7,80.6%,1.4,1.7,1.7,0.4,1.3,3.1,0.5,0.0,1.2,1.5,6.6,330,239
Robert Louis Arnzen,前锋,1.96,93,1,1,55, ,10.8,46.2%,2.3,5.0, , , ,86.5%,0.8,0.9,2.8, , ,0.4, , , ,1.0,5.5,,
Jay Hoyland Arnette,后卫,1.88,79,3,1,114, ,10.3,36.5%,1.4,3.9, , , ,76.0%,0.9,1.1,1.0, , ,1.2, , , ,2.0,3.7,,
Hugh Jesse Arnelle,前锋,1.96,100,1,1,31, ,13.2,31.7%,1.7,5.3, , , ,62.3%,1.4,2.2,5.5, , ,0.6, , , ,1.9,4.7,,
Michel Taylor Armstrong,后卫,1.91,79,2,1,92, ,10.6,45.4%,1.7,3.8, , , ,80.0%,0.3,0.4,1.0,0.3,0.6,1.1,0.4,0.0,0.9,0.7,3.8,,
Hilton A. Armstrong Jr.,前锋-中锋,2.11,107,6,6,292,40,11.6,50.1%,1.2,2.4,28.6%,0.0,0.0,58.2%,0.6,1.1,2.6,1.0,1.6,0.3,0.3,0.5,0.8,1.9,3.0,149,143
Darrell Eugene Armstrong,后卫,1.83,77,14,5,840,337,23.7,40.9%,3.2,7.7,33.4%,1.1,3.3,87.1%,1.7,2.0,2.7,0.8,1.9,4.0,1.3,0.1,1.9,1.7,9.2,443,397
Paul Carlyle Armstrong,后卫-前锋,1.80,77,3,1,153, , ,29.5%,2.3,7.7, , , ,69.2%,2.3,3.3, , , ,2.3, , , ,3.0,6.8,,
Brandon Simone Armstrong,后卫,1.96,85,3,1,108,0,6.5,35.2%,0.9,2.7,33.3%,0.2,0.7,60.0%,0.1,0.2,0.6,0.2,0.4,0.2,0.2,0.0,0.3,0.8,2.2,66,42
Bob Armstrong,中锋-前锋,2.03,100,1,1,19, ,5.8,29.7%,0.6,1.9, , , ,50.0%,0.3,0.6,2.1, , ,0.2, , , ,0.7,1.5,,
Benjamin Roy Armstrong Jr.,后卫,1.88,79,11,4,747,341,23.8,47.7%,3.8,8.0,42.5%,0.6,1.4,85.6%,1.6,1.9,1.8,0.3,1.5,3.3,0.7,0.1,1.2,1.5,9.8,456,291
Joseph Arlauckas,前锋,2.06,104,1,1,9,0,9.4,32.6%,1.6,4.8, ,0.0,0.0,75.0%,0.7,0.9,1.4,0.7,0.8,0.9,0.3,0.4,0.4,1.8,3.8,1,8
Paul Joseph Arizin,前锋-后卫,1.93,86,10,1,713, , ,42.1%,7.9,18.7, , , ,81.0%,7.0,8.7,8.6, , ,2.3, , , ,3.9,22.8,,
Trevor Anthony Ariza,前锋,2.03,98,14,6,895,594,29.3,42.6%,3.8,8.9,35.2%,1.3,3.8,71.9%,1.6,2.2,4.8,1.0,3.8,2.1,1.5,0.3,1.4,2.0,10.5,504,391
Gilbert Jay Arenas,后卫,1.91,87,11,4,552,455,35.1,42.1%,6.7,16.0,35.1%,2.0,5.6,80.3%,5.2,6.5,3.9,0.8,3.1,5.3,1.6,0.2,3.2,3.0,20.7,253,299
Jimmie Lee Ard,前锋-中锋,2.03,98,4,2,218, ,12.2,36.1%,1.4,3.8, , , ,69.5%,0.8,1.1,3.8,1.1,2.7,0.7,0.2,0.4, ,1.8,3.5,,
Nathaniel Archibald,后卫,1.85,68,13,6,876, ,35.6,46.7%,6.7,14.4, , , ,81.0%,5.3,6.6,2.3, , ,7.4, , , ,2.3,18.8,,
Robert Michael Archibald,前锋,2.11,113,2,4,44,3,7.5,28.3%,0.3,1.2, ,0.0,0.0,42.9%,0.5,1.1,1.6,0.6,1.0,0.4,0.3,0.1,0.4,1.3,1.2,17,27
